TradingDate,399300.SZE,000016.SSE,399905.SZE
8/1/2017,3770.38,2681.81,6286.54
8/2/2017,3760.85,2680.63,6251.86
8/3/2017,3727.83,2646.22,6261.97
8/4/2017,3707.58,2627.8,6225.12
8/7/2017,3726.8,2634.18,6303.42
8/8/2017,3732.21,2635.18,6303.72
8/9/2017,3731.04,2620.38,6340.02
8/10/2017,3715.92,2611.34,6289.22
8/11/2017,3647.35,2570.26,6161.19
8/14/2017,3694.68,2591.45,6292.64
8/15/2017,3706.06,2605.24,6314.76
8/16/2017,3701.42,2595,6318.8
8/17/2017,3721.28,2604.08,6366.03
8/18/2017,3724.68,2613.26,6347.76
8/21/2017,3740.99,2616.82,6403.78
8/22/2017,3752.3,2643.5,6375.98
8/23/2017,3756.09,2659.78,6322.78
8/24/2017,3734.65,2646.4,6278.59
8/25/2017,3795.75,2706.24,6346.53
8/28/2017,3842.71,2736.46,6424.58
8/29/2017,3834.54,2739.13,6408.16
8/30/2017,3834.3,2728.23,6453.46
8/31/2017,3822.09,2714.63,6470.43
9/1/2017,3830.54,2710.12,6526.51
9/4/2017,3845.62,2711.35,6564.68
9/5/2017,3857.05,2729.85,6571.86
9/6/2017,3849.45,2714.33,6607.12
9/7/2017,3829.87,2691.83,6558.6
9/8/2017,3825.99,2686.69,6574.18
9/11/2017,3825.65,2674.75,6649.63
9/12/2017,3837.93,2692.54,6644.01
9/13/2017,3842.61,2687.67,6684.38
9/14/2017,3829.96,2672.84,6672.19
9/15/2017,3831.3,2668.38,6622.04
9/18/2017,3843.14,2674.18,6669.46
9/19/2017,3832.12,2670.69,6636.02
9/20/2017,3842.44,2662.63,6692.47
9/21/2017,3837.82,2675.55,6612.05
9/22/2017,3837.73,2679.05,6572.01
9/25/2017,3817.79,2680.65,6489.84
9/26/2017,3820.78,2678.99,6520.72
9/27/2017,3821.2,2661.55,6583.14
9/28/2017,3822.54,2661.28,6567.79
9/29/2017,3836.5,2672.33,6603.26
10/9/2017,3882.21,2692.08,6678.37
10/10/2017,3889.86,2695.54,6705.48
