成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
93000,513,买入,67.9,200,13580,104000000269045.00 ,680135528,20170430
93000,2422,买入,32.69,400,13076,104000000269056.00 ,680135528,20170430
93000,2094,买入,22.68,200,4536,101000000263958.00 ,680135528,20170430
93000,830,买入,19.39,400,7756,101000000264034.00 ,680135528,20170430
93000,2439,买入,23.18,200,4636,101000000264196.00 ,680135528,20170430
93000,915,买入,23.48,400,9392,104000000269616.00 ,680135528,20170430
93000,2576,买入,11.15,200,2230,102000000258919.00 ,680135528,20170430
93000,426,买入,7.26,200,1452,103000000256108.00 ,680135528,20170430
93000,300253,买入,12.17,2000,24340,102000000259151.00 ,680135528,20170430
93000,78,买入,5.59,400,2236,104000000270224.00 ,680135528,20170430
93000,553,买入,15.61,200,3122,104000000271616.00 ,680135528,20170430
93000,520,买入,3.47,800,2776,104000000282373.00 ,680135528,20170430
93000,155,买入,0,400,2716,104000000288130.00 ,680135528,20170430
93000,2153,买入,29.19,335,9778.65,101000000283828.00 ,680135528,20170430
93000,2410,买入,26.9,500,13450,101000000272867.00 ,680135528,20170430
93000,300415,买入,0,100,1009,104000000298223.00 ,680135528,20170430
93000,2815,买入,15.92,300,4776,102000000269928.00 ,680135528,20170430
93000,2153,买入,29.19,365,10654.35,101000000283602.00 ,680135528,20170430
93000,2007,买入,33.89,1000,33890,101000000278428.00 ,680135528,20170430
93000,300226,买入,58.87,200,11774,102000000272675.00 ,680135528,20170430
93000,2332,买入,9.01,600,5406,102000000276264.00 ,680135528,20170430
93000,2701,买入,6.03,400,2412,102000000286198.00 ,680135528,20170430
93000,300365,买入,20.21,200,4042,104000000305264.00 ,680135528,20170430
93000,882,买入,2.93,1400,4102,102000000261582.00 ,680135528,20170430
93000,155,买入,15.75,200,3150,101000000268651.00 ,680135528,20170430
93000,2676,买入,3.87,400,1548,103000000265758.00 ,680135528,20170430
93000,2815,买入,15.92,100,1592,102000000267886.00 ,680135528,20170430
93000,300708,买入,23.51,400,9404,102000000268622.00 ,680135528,20170430
93000,300738,买入,61.01,200,12202,102000000269104.00 ,680135528,20170430
93000,300160,买入,5.11,200,1022,104000000282963.00 ,680135528,20170430
93000,2877,买入,22.07,200,4414,104000000288191.00 ,680135528,20170430
93000,78,买入,5.59,600,3354,104000000270916.00 ,680135528,20170430
93000,2129,买入,9.54,200,1908,101000000268234.00 ,680135528,20170430
93000,300212,买入,30.42,400,12168,103000000259990.00 ,680135528,20170430
93000,300075,买入,14.75,400,5900,102000000263238.00 ,680135528,20170430
93000,829,买入,8.65,600,5190,104000000277243.00 ,680135528,20170430
93000,155,买入,26.9,200,5380,101000000272634.00 ,680135528,20170430
93000,2886,买入,33.51,200,6702,104000000280421.00 ,680135528,20170430
93000,2465,买入,9.56,400,3824,104000000285595.00 ,680135528,20170430
93000,2153,买入,29.19,100,2919,101000000283606.00 ,680135528,20170430
93000,961,买入,7.24,300,2172,102000000282511.00 ,680135528,20170430
93000,2589,买入,13.42,400,5368,101000000293096.00 ,680135528,20170430
93017,2522,买入,10.31,400,4124,104000000543769.00 ,680135528,20170430
93026,2127,买入,10.48,750,7860,101000000549647.00 ,680135528,20170430
93026,2127,买入,10.48,250,2620,101000000550619.00 ,680135528,20170430
93330,2900,买入,31.26,100,3126,103000001199596.00 ,680135528,20170430
93330,2576,买入,10.79,100,1079,102000001182396.00 ,680135528,20170430
93330,915,买入,22.7,200,4540,104000001239930.00 ,680135528,20170430
93330,2410,买入,26.75,500,13375,101000001177629.00 ,680135528,20170430
93330,2668,买入,20.4,100,2040,104000001240253.00 ,680135528,20170430
93330,2240,买入,14.7,100,1470,102000001182822.00 ,680135528,20170430
93330,2701,买入,5.97,200,1194,102000001182928.00 ,680135528,20170430
93330,2007,买入,33.99,500,16995,101000001178009.00 ,680135528,20170430
93330,2020,买入,12.02,400,4808,103000001201050.00 ,680135528,20170430
93330,2299,买入,15.3,100,1530,101000001178105.00 ,680135528,20170430
93330,2353,买入,18.15,100,1815,101000001178214.00 ,680135528,20170430
93330,300249,买入,7.05,100,705,101000001178257.00 ,680135528,20170430
93330,603711,买入,24.71,100,2471,798501.00 ,680135528,20170430
93330,520,买入,3.46,400,1384,104000001240941.00 ,680135528,20170430
93330,603260,买入,73.76,100,7376,798662.00 ,680135528,20170430
93330,300226,买入,59.05,100,5905,102000001184212.00 ,680135528,20170430
93330,300075,买入,14.5,200,2900,102000001184330.00 ,680135528,20170430
93330,600859,买入,22.76,300,6828,798867.00 ,680135528,20170430
93330,600315,买入,43.65,100,4365,798868.00 ,680135528,20170430
93331,300398,买入,20.72,100,2072,103000001202192.00 ,680135528,20170430
93331,155,买入,6.8,200,1360,104000001241724.00 ,680135528,20170430
93330,603058,买入,13.72,200,2744,799029.00 ,680135528,20170430
93330,600622,买入,11.18,100,1118,799152.00 ,680135528,20170430
93330,600298,买入,36.11,200,7222,799122.00 ,680135528,20170430
93330,600673,买入,9.91,300,2973,799301.00 ,680135528,20170430
93330,600172,买入,5.07,200,1014,799528.00 ,680135528,20170430
93331,2439,买入,23.26,300,6978,101000001179616.00 ,680135528,20170430
93331,300365,买入,20.46,100,2046,104000001242029.00 ,680135528,20170430
93331,600260,买入,30.62,300,9186,799721.00 ,680135528,20170430
93331,702,买入,6.37,100,637,103000001202698.00 ,680135528,20170430
93331,703,买入,16.89,500,8445,102000001185076.00 ,680135528,20170430
93330,600614,买入,7.15,200,1430,799478.00 ,680135528,20170430
93331,600810,买入,13.29,700,9303,799614.00 ,680135528,20170430
