ProductID,TradingDate,NetValue
CosmosCenter,2017/8/29,1
CosmosCenter,2017/8/30,1.01
CosmosCenter,2017/8/31,1.015
CosmosCenter,2017/9/1,1.02
CosmosCenter,2017/9/4,1.03
CosmosCenter,2017/9/5,1.030309
CosmosCenter,2017/9/6,1.030309
CosmosCenter,2017/9/7,1.030309
CosmosCenter,2017/9/8,1.030412
CosmosCenter,2017/9/11,1.030412
CosmosCenter,2017/9/12,1.030309
CosmosCenter,2017/9/13,1.030309
CosmosCenter,2017/9/14,1.030309
CosmosCenter,2017/9/15,1.030412
CosmosCenter,2017/9/18,1.030515
CosmosCenter,2017/9/19,1.030515
CosmosCenter,2017/9/20,1.020204
CosmosCenter,2017/9/21,1.020204
CosmosCenter,2017/9/22,1.02255
CosmosCenter,2017/9/25,1.016532
CosmosCenter,2017/9/26,1.025202
CosmosCenter,2017/9/27,1.052742
CosmosCenter,2017/9/28,1.051008
CosmosCenter,2017/9/29,1.053456
CosmosCenter,2017/10/9,1.068246
CosmosCenter,2017/10/10,1.071918
CosmosCenter,2017/10/11,1.066308
CosmosCenter,2017/10/12,1.067838
CosmosCenter,2017/10/13,1.075488
CosmosCenter,2017/10/16,1.060086
CosmosCenter,2017/10/17,1.060188
CosmosCenter,2017/10/18,1.053864
CosmosCenter,2017/10/19,1.046826
CosmosCenter,2017/10/20,1.06284
CosmosCenter,2017/10/23,1.071
CosmosCenter,2017/10/24,1.069164
CosmosCenter,2017/10/25,1.07865
CosmosCenter,2017/10/26,1.088442
CosmosCenter,2017/10/27,1.080792
CosmosCenter,2017/10/30,1.065594
CosmosCenter,2017/10/31,1.073244
CosmosCenter,2017/11/1,1.07304
CosmosCenter,2017/11/2,1.062942
CosmosCenter,2017/11/3,1.051416
CosmosCenter,2017/11/6,1.067022
CosmosCenter,2017/11/7,1.071
CosmosCenter,2017/11/8,1.076202
CosmosCenter,2017/11/9,1.08222
CosmosCenter,2017/11/10,1.087626
CosmosCenter,2017/11/13,1.0629
CosmosCenter,2017/11/14,1.0626
CosmosCenter,2017/11/15,1.0486
CosmosCenter,2017/11/16,1.082526
CosmosCenter,2017/11/17,1.047438
CosmosCenter,2017/11/20,1.06437
CosmosCenter,2017/11/21,1.067226
CosmosCenter,2017/11/22,1.065798
CosmosCenter,2017/11/23,1.032648
CosmosCenter,2017/11/24,1.033668
CosmosCenter,2017/11/27,1.02
CosmosCenter,2017/11/28,1.042032
CosmosCenter,2017/11/29,1.045602
CosmosCenter,2017/11/30,1.038462
CosmosCenter,2017/12/1,1.049886
CosmosCenter,2017/12/4,1.042338
CosmosCenter,2017/12/5,1.018368
CosmosCenter,2017/12/6,1.026426
CosmosCenter,2017/12/7,1.022346
CosmosCenter,2017/12/8,1.041012
CosmosCenter,2017/12/11,1.055802
CosmosCenter,2017/12/12,1.04652
CosmosCenter,2017/12/13,1.028
CosmosCenter,2017/12/14,1.026
CosmosCenter,2017/12/15,1.0218
CosmosCenter,2017/12/18,1.018
CosmosCenter,2017/12/19,1.0305
CosmosCenter,2017/12/20,1.0231
CosmosCenter,2017/12/21,1.0301
CosmosCenter,2017/12/25,1.0157
CosmosCenter,2017/12/26,1.0246
CosmosCenter,2017/12/27,1.0189
CosmosCenter,2017/12/28,1.0271
CosmosCenter,2017/12/29,1.0375
CosmosCenter,2018/1/2,1.05
CosmosCenter,2018/1/3,1.0624
CosmosCenter,2018/1/4,1.0678
CosmosCenter,2018/1/5,1.0744
CosmosCenter,2018/1/8,1.0792
CosmosCenter,2018/1/9,1.11231
CosmosCenter,2018/1/10,1.107516
CosmosCenter,2018/1/11,1.108944
CosmosCenter,2018/1/12,1.106292
CosmosCenter,2018/1/15,1.07763
CosmosCenter,2018/1/16,1.088544
CosmosCenter,2018/1/17,1.089768
CosmosCenter,2018/1/18,1.09191
CosmosCenter,2018/1/19,1.092522
CosmosCenter,2018/1/22,1.106802
CosmosCenter,2018/1/23,1.106904
CosmosCenter,2018/1/24,1.112922
CosmosCenter,2018/1/25,1.114452
CosmosCenter,2018/1/26,1.114758
CosmosCenter,2018/1/29,1.100478
CosmosCenter,2018/1/30,1.10109
CosmosCenter,2018/1/31,1.084668
CosmosCenter,2018/2/1,1.058964
CosmosCenter,2018/2/2,1.060086
CosmosCenter,2018/2/5,1.0433
CosmosCenter,2018/2/6,0.9877
CosmosCenter,2018/2/7,0.9936
CosmosCenter,2018/2/8,1.0072
CosmosCenter,2018/2/9,0.9728
CosmosCenter,2018/2/12,1.0038
CosmosCenter,2018/2/13,1.0122
CosmosCenter,2018/2/14,1.0179
CosmosCenter,2018/2/22,1.0406
CosmosCenter,2018/2/23,1.0441
CosmosCenter,2018/2/26,1.0672
CosmosCenter,2018/2/27,1.0175
CosmosCenter,2018/2/28,1.0218
CosmosCenter,2018/3/1,1.0354
CosmosCenter,2018/3/2,1.0265
CosmosCenter,2018/3/5,1.024
CosmosCenter,2018/3/6,1.0438535
CosmosCenter,2018/3/7,1.0315155
CosmosCenter,2018/3/8,1.038978
CosmosCenter,2018/3/9,1.0538035
CosmosCenter,2018/3/12,1.07042
CosmosCenter,2018/3/13,1.0645495
CosmosCenter,2018/3/14,1.0520125
CosmosCenter,2018/3/15,1.0506195
CosmosCenter,2018/3/16,1.0440525
CosmosCenter,2018/3/19,1.049127
CosmosCenter,2018/3/20,1.057087
CosmosCenter,2018/3/21,1.0516145
CosmosCenter,2018/3/22,1.04455
CosmosCenter,2018/3/23,0.989029
CosmosCenter,2018/3/26,1.018481
CosmosCenter,2018/3/27,1.0470375
CosmosCenter,2018/3/28,1.0446495
CosmosCenter,2018/3/29,1.033107
CosmosCenter,2018/3/30,1.0515145
CosmosCenter,2018/4/2,1.0463405
CosmosCenter,2018/4/3,1.0421615
CosmosCenter,2018/4/4,1.036291
CosmosCenter,2018/4/9,1.0365895
CosmosCenter,2018/4/10,1.046042
CosmosCenter,2018/4/11,1.051614
CosmosCenter,2018/4/12,1.0449475
CosmosCenter,2018/4/13,1.044251
CosmosCenter,2018/4/16,1.042858
CosmosCenter,2018/4/17,1.0202715
CosmosCenter,2018/4/18,1.0290275
CosmosCenter,2018/4/19,1.037286
CosmosCenter,2018/4/20,1.013605
CosmosCenter,2018/4/23,0.9993765
CosmosCenter,2018/4/24,1.023953
CosmosCenter,2018/4/25,1.028132
CosmosCenter,2018/4/26,1.0057445
CosmosCenter,2018/4/27,1.007834
CosmosCenter,2018/5/2,1.005844
CosmosCenter,2018/5/3,1.0174855
CosmosCenter,2018/5/4,1.01659
CosmosCenter,2018/5/7,1.0340025
CosmosCenter,2018/5/8,1.0399725
CosmosCenter,2018/5/9,1.037485
CosmosCenter,2018/5/10,1.0429575
CosmosCenter,2018/5/11,1.0361915
CosmosCenter,2018/5/14,1.033505
CosmosCenter,2018/5/15,1.0449475
CosmosCenter,2018/5/16,1.0435545
CosmosCenter,2018/5/17,1.039276
