productid,applyMoney,applyShares,confirmDate,benchIndex,tag
CosmosCenter,2000000,0,2017/8/29,399905.SZE,申购
CosmosCenter,3400000,0,2017/9/21,399905.SZE,申购
CosmosCenter,50000000,0,2017/9/21,399905.SZE,申购
CosmosCenter,5000000,0,2017/9/21,399905.SZE,申购
CosmosCenter,120000000,0,2017/9/25,399905.SZE,申购
CosmosCenter,0,-89750623.44,2017/9/27,399905.SZE,赎回
CosmosCenter,100232451.9,0,2017/9/29,399905.SZE,申购
CosmosCenter,16000000,0,2017/10/23,399905.SZE,申购
CosmosCenter,0,-6000000,2017/11/23,399905.SZE,赎回
CosmosCenter,0,-1910000,2018/1/23,399905.SZE,赎回
CosmosCenter,0,-9555086.37,2018/2/13,399905.SZE,赎回
CosmosCenter,0,-1004204.64,2018/4/18,399905.SZE,赎回
CosmosCenter,0,-7615693.7,2018/4/18,399905.SZE,赎回

,,,,,,
字段说明,,,,,,
productid,产品id,,,,,
applyMoney,申购或赎回金额。申购以金额为准,,,,,
applyShares,申购或赎回额。赎回以份额为准,,,,,
confirmDate,申购或赎回的确认日期。申购的份额或赎回的金额以该日期的净值为准。,,,,,
benchIndex,基准指数代码,,,,,
tag,行为类别,,,,,
