,399300.SZE,000016.SSE,399905.SZE
2017-08-01,3770.38,2681.81,6286.54
2017-08-02,3760.85,2680.63,6251.86
2017-08-03,3727.83,2646.22,6261.97
2017-08-04,3707.58,2627.8,6225.12
2017-08-07,3726.8,2634.18,6303.42
2017-08-08,3732.21,2635.18,6303.72
2017-08-09,3731.04,2620.38,6340.02
2017-08-10,3715.92,2611.34,6289.22
2017-08-11,3647.35,2570.26,6161.19
2017-08-14,3694.68,2591.45,6292.64
2017-08-15,3706.06,2605.24,6314.76
2017-08-16,3701.42,2595.0,6318.8
2017-08-17,3721.28,2604.08,6366.03
2017-08-18,3724.68,2613.26,6347.76
2017-08-21,3740.99,2616.82,6403.78
2017-08-22,3752.3,2643.5,6375.98
2017-08-23,3756.09,2659.78,6322.78
2017-08-24,3734.65,2646.4,6278.59
2017-08-25,3795.75,2706.24,6346.53
2017-08-28,3842.71,2736.46,6424.58
2017-08-29,3834.54,2739.13,6408.16
2017-08-30,3834.3,2728.23,6453.46
2017-08-31,3822.09,2714.63,6470.43
2017-09-01,3830.54,2710.12,6526.51
2017-09-04,3845.62,2711.35,6564.68
2017-09-05,3857.05,2729.85,6571.86
2017-09-06,3849.45,2714.33,6607.12
2017-09-07,3829.87,2691.83,6558.6
2017-09-08,3825.99,2686.69,6574.18
2017-09-11,3825.65,2674.75,6649.63
2017-09-12,3837.93,2692.54,6644.01
2017-09-13,3842.61,2687.67,6684.38
2017-09-14,3829.96,2672.84,6672.19
2017-09-15,3831.3,2668.38,6622.04
2017-09-18,3843.14,2674.18,6669.46
2017-09-19,3832.12,2670.69,6636.02
2017-09-20,3842.44,2662.63,6692.47
2017-09-21,3837.82,2675.55,6612.05
2017-09-22,3837.73,2679.05,6572.01
2017-09-25,3817.79,2680.65,6489.84
2017-09-26,3820.78,2678.99,6520.72
2017-09-27,3821.2,2661.55,6583.14
2017-09-28,3822.54,2661.28,6567.79
2017-09-29,3836.5,2672.33,6603.26
2017-10-09,3882.21,2692.08,6678.37
2017-10-10,3889.86,2695.54,6705.48
2017-10-11,3902.69,2707.52,6666.47
2017-10-12,3912.95,2718.35,6659.1
2017-10-13,3921.0,2713.38,6709.82
2017-10-16,3913.45,2726.64,6619.21
2017-10-17,3913.07,2723.53,6612.94
2017-10-18,3944.16,2753.01,6563.44
2017-10-19,3931.25,2756.04,6501.4
2017-10-20,3926.85,2737.64,6571.42
2017-10-23,3930.8,2734.37,6612.76
2017-10-24,3959.4,2753.65,6603.0
2017-10-25,3976.95,2752.14,6647.89
2017-10-26,3993.58,2771.04,6671.93
2017-10-27,4021.97,2814.27,6630.81
2017-10-30,4009.72,2809.11,6511.76
2017-10-31,4006.72,2793.71,6560.21
2017-11-01,3996.62,2789.4,6552.96
