[1]SecuCode|[2]TradingDay|[3]PrevClosePrice|[4]OpenPrice|[5]HighPrice|[6]LowPrice|[7]ClosePrice|[8]TurnoverVolume|[9]TurnoverValue|[10]SecuMarket|[11]SecuCategory|[12]ListedDate|[13]TradeState|[14]SpecialTradeType|[15]Split|[16]Dividend|[17]ActualPlaRatio|[18]PlaPrice|[19]BaseShares|[20]ActualPlaVol|[21]TotalShares|[22]TotalFloatShares|[23]SecuName|[24]ChiName
000001.SZE|20180102|13.3|13.35|13.93|13.32|13.7|208159255|2856543822.2|SZE|A|19910403|trade|0|1.0|0.0|0.0|0.0|0|0|17170411366|16917989651|平安银行|平安银行股份有限公司
000002.SZE|20180102|31.06|31.45|32.99|31.45|32.56|68343350|2218502766.9|SZE|A|19910129|trade|0|1.0|0.0|0.0|0.0|0|0|9724196533|9709165105|万科A|万科企业股份有限公司
000004.SZE|20180102|22.38|22.29|22.49|22.0|22.34|626181|13951004.8|SZE|A|19910114|trade|0|1.0|0.0|0.0|0.0|0|0|83976684|82963684|国农科技|深圳中国农大科技股份有限公司
000005.SZE|20180102|4.14|4.15|4.5|4.15|4.32|7153934|30529757.4|SZE|A|19901210|trade|0|1.0|0.0|0.0|0.0|0|0|1058536842|951222460|世纪星源|深圳世纪星源股份有限公司
000006.SZE|20180102|9.85|0.0|0.0|0.0|9.85|0|0.0|SZE|A|19920427|suspend|0|1.0|0.0|0.0|0.0|0|0|1349995046|1345169160|深振业A|深圳市振业(集团)股份有限公司
000007.SZE|20180102|16.66|0.0|0.0|0.0|16.66|0|0.0|SZE|A|19920413|suspend|0|1.0|0.0|0.0|0.0|0|0|346448044|308948044|全新好|深圳市全新好股份有限公司
000008.SZE|20180102|8.75|8.75|8.82|8.7|8.77|8289999|72523239.6|SZE|A|19920507|trade|0|1.0|0.0|0.0|0.0|0|0|2818329809|2011042831|神州高铁|神州高铁技术股份有限公司
000009.SZE|20180102|7.23|7.27|7.33|7.23|7.32|19269993|140497530.0|SZE|A|19910625|trade|0|1.0|0.0|0.0|0.0|0|0|2149344971|2120089068|中国宝安|中国宝安集团股份有限公司
000010.SZE|20180102|5.42|5.38|5.49|5.33|5.48|8519811|46225100.1|SZE|A|19951027|trade|0|1.0|0.0|0.0|0.0|0|0|819854713|522171498|美丽生态|深圳美丽生态股份有限公司
000011.SZE|20180102|16.79|16.86|17.23|16.8|17.08|4572947|78233953.9|SZE|A|19920330|trade|0|1.0|0.0|0.0|0.0|0|0|528373849|175862626|深物业A|深圳市物业发展(集团)股份有限公司
000012.SZE|20180102|8.45|8.34|8.72|8.33|8.62|38242586|327359068.0|SZE|A|19920228|trade|0|1.0|0.0|0.0|0.0|0|0|1607175957|1509403397|南玻A|中国南玻集团股份有限公司
000014.SZE|20180102|10.78|10.78|11.05|10.75|10.92|3241071|35415122.3|SZE|A|19920602|trade|0|1.0|0.0|0.0|0.0|0|0|201705187|201705187|沙河股份|沙河实业股份有限公司
000016.SZE|20180102|6.06|6.06|6.16|6.03|6.12|12436830|75916581.1|SZE|A|19920327|trade|0|1.0|0.0|0.0|0.0|0|0|1596593800|1596574300|深康佳A|康佳集团股份有限公司
